iter	Passed	Remaining
0	161	161449
1	162	81074
2	163	54214
3	163	40756
4	164	32687
5	164	27309
6	165	23464
7	166	20590
8	166	18351
9	167	16556
10	167	15088
11	168	13866
12	168	12830
13	169	11945
14	170	11176
15	170	10502
16	171	9914
17	172	9387
18	172	8916
19	173	8488
20	173	8104
21	174	7753
22	174	7432
23	175	7138
24	176	6869
25	176	6618
26	177	6388
27	177	6174
28	178	5973
29	179	5787
30	179	5614
31	180	5449
32	180	5296
33	181	5152
34	181	5015
35	182	4887
36	183	4765
37	183	4649
38	184	4539
39	184	4436
40	185	4339
41	186	4248
42	186	4161
43	187	4083
44	188	4006
45	189	3929
46	190	3855
47	190	3784
48	191	3717
49	192	3652
50	192	3589
51	193	3528
52	194	3470
53	194	3413
54	195	3358
55	196	3305
56	196	3255
57	197	3205
58	198	3159
59	198	3113
60	199	3070
61	200	3029
62	200	2987
63	201	2946
64	202	2907
65	202	2869
66	203	2835
67	204	2798
68	204	2763
69	205	2730
70	206	2699
71	207	2668
72	208	2641
73	208	2611
74	209	2581
75	209	2552
76	210	2523
77	211	2495
78	211	2467
79	212	2441
80	212	2414
81	213	2389
82	213	2364
83	214	2339
84	214	2313
85	215	2290
86	215	2266
87	216	2244
88	217	2226
89	218	2207
90	219	2188
91	219	2169
92	220	2149
93	220	2129
94	221	2110
95	222	2092
96	222	2074
97	223	2056
98	224	2039
99	224	2022
100	225	2004
101	225	1985
102	226	1969
103	226	1953
104	227	1937
105	227	1921
106	228	1906
107	229	1891
108	229	1876
109	230	1862
110	230	1849
111	231	1835
112	232	1823
113	233	1811
114	233	1799
115	234	1786
116	235	1774
117	235	1762
118	236	1748
119	236	1736
120	237	1725
121	238	1713
122	238	1700
123	239	1688
124	239	1677
125	240	1666
126	240	1656
127	241	1643
128	241	1633
129	242	1623
130	243	1613
131	243	1602
132	244	1593
133	244	1583
134	245	1573
135	246	1563
136	247	1556
137	247	1547
138	248	1538
139	248	1529
140	249	1520
141	250	1511
142	250	1502
143	251	1494
144	252	1485
145	252	1477
146	253	1470
147	254	1463
148	254	1455
149	255	1447
150	256	1441
151	257	1434
152	257	1427
153	258	1419
154	258	1411
155	259	1404
156	260	1397
157	260	1390
158	261	1384
159	262	1377
160	263	1370
161	263	1363
162	264	1357
163	264	1350
164	265	1343
165	266	1337
166	266	1330
167	267	1324
168	268	1318
169	268	1311
170	269	1305
171	269	1299
172	270	1293
173	271	1286
174	271	1281
175	272	1275
176	272	1269
177	273	1263
178	274	1257
179	274	1252
180	275	1245
181	276	1241
182	276	1235
183	277	1230
184	278	1225
185	279	1222
186	280	1217
187	280	1212
188	281	1206
189	281	1201
190	282	1196
191	282	1190
192	283	1185
193	284	1180
194	284	1174
195	285	1169
196	285	1164
197	286	1159
198	286	1154
199	287	1149
200	287	1144
201	288	1139
202	289	1134
203	289	1130
204	290	1125
205	290	1120
206	291	1116
207	292	1112
208	292	1108
209	293	1104
210	294	1100
211	294	1095
212	295	1091
213	295	1086
214	296	1082
215	297	1078
216	297	1073
217	298	1069
218	298	1065
219	299	1061
220	299	1057
221	300	1052
222	301	1048
223	301	1044
224	302	1040
225	302	1036
226	303	1032
227	303	1028
228	304	1024
229	304	1020
230	305	1017
231	306	1013
232	306	1010
233	307	1007
234	308	1004
235	308	1000
236	309	996
237	310	992
238	310	989
239	311	985
240	311	981
241	312	978
242	312	974
243	313	971
244	313	967
245	314	963
246	315	960
247	315	957
248	316	953
249	316	950
250	317	946
251	317	943
