iter	Passed	Remaining
0	136	136710
1	138	68953
2	139	46273
3	140	34955
4	142	28360
5	143	23815
6	145	20621
7	146	18185
8	147	16281
9	149	14753
10	150	13487
11	151	12437
12	152	11543
13	153	10803
14	154	10169
15	156	9603
16	157	9084
17	158	8624
18	159	8216
19	161	7924
20	163	7605
21	164	7302
22	165	7020
23	166	6771
24	167	6546
25	169	6338
26	170	6138
27	171	5950
28	172	5774
29	173	5610
30	174	5453
31	175	5319
32	176	5186
33	178	5059
34	179	4938
35	180	4821
36	181	4713
37	182	4609
38	183	4517
39	184	4431
40	185	4341
41	186	4256
42	187	4174
43	188	4095
44	189	4022
45	191	3966
46	192	3905
47	193	3840
48	194	3776
49	195	3714
50	196	3662
51	198	3614
52	199	3565
53	200	3512
54	201	3460
55	202	3410
56	203	3362
57	204	3320
58	206	3287
59	207	3248
60	208	3207
61	209	3168
62	210	3128
63	211	3089
64	212	3057
65	213	3028
66	215	2995
67	216	2962
68	217	2931
69	218	2898
70	236	3100
71	238	3073
72	239	3044
73	241	3016
74	242	2989
75	243	2965
76	245	2941
77	246	2913
78	247	2885
79	248	2859
80	249	2834
81	251	2811
82	251	2783
83	253	2760
84	254	2736
85	255	2714
86	257	2697
87	258	2674
88	259	2651
89	259	2628
90	261	2607
91	262	2588
92	263	2568
93	264	2550
94	265	2530
95	266	2510
96	268	2500
97	269	2481
98	270	2461
99	271	2441
100	272	2422
101	273	2403
102	273	2385
103	274	2367
104	275	2349
105	277	2336
106	278	2321
107	279	2306
108	280	2291
109	281	2275
110	282	2262
111	283	2251
112	285	2238
113	286	2225
114	287	2210
115	288	2195
116	288	2179
117	289	2164
118	290	2150
119	291	2138
120	292	2125
121	293	2111
122	294	2099
123	295	2087
124	296	2074
125	297	2064
126	298	2054
127	300	2044
128	300	2032
129	301	2019
130	302	2008
131	303	1997
132	304	1986
133	305	1974
134	306	1967
135	308	1956
136	309	1946
137	309	1936
138	310	1925
139	311	1915
140	313	1912
141	315	1903
142	316	1894
143	317	1884
144	318	1875
145	319	1865
146	319	1856
147	320	1846
148	322	1840
149	323	1832
150	324	1824
151	325	1815
152	326	1806
153	327	1797
154	330	1799
155	331	1791
156	331	1782
157	332	1773
158	333	1765
159	334	1756
160	335	1746
161	336	1738
162	337	1732
163	338	1725
164	339	1717
165	340	1709
166	341	1702
167	342	1696
168	343	1689
169	344	1683
170	345	1676
171	346	1668
172	347	1661
173	348	1655
174	349	1647
175	350	1640
176	351	1636
177	352	1629
178	353	1622
179	354	1615
180	355	1608
181	356	1601
182	357	1595
183	358	1589
184	359	1582
185	360	1575
186	360	1569
187	361	1562
188	362	1556
189	363	1549
190	364	1543
191	365	1537
192	366	1533
193	367	1527
194	368	1522
195	369	1516
196	370	1510
197	371	1506
198	373	1501
199	374	1496
200	374	1490
201	375	1484
202	376	1479
203	377	1473
204	378	1467
205	379	1462
206	380	1456
207	381	1452
208	383	1450
209	384	1446
210	386	1443
211	387	1439
212	388	1434
213	389	1429
214	390	1425
215	391	1421
216	392	1417
217	393	1412
218	395	1408
219	396	1406
220	398	1403
221	399	1399
222	400	1395
223	401	1391
224	402	1387
225	403	1383
226	405	1379
227	406	1375
228	407	1371
229	408	1367
230	409	1363
231	410	1359
232	412	1359
233	414	1355
234	415	1351
235	416	1347
236	417	1344
237	418	1340
238	420	1337
239	421	1334
240	422	1330
241	423	1327
242	424	1323
243	426	1320
244	427	1316
245	428	1312
246	429	1309
247	431	1308
248	432	1304
249	433	1301
250	434	1297
251	435	1293
252	437	1290
253	438	1286
254	439	1283
255	440	1280
256	442	1278
257	443	1276
258	444	1272
259	446	1270
260	447	1267
261	449	1264
262	450	1261
263	451	1258
264	452	1255
265	453	1252
266	454	1248
267	456	1245
268	457	1243
269	458	1240
270	460	1237
271	461	1234
272	462	1231
273	463	1228
274	464	1225
275	465	1222
276	467	1219
277	468	1216
278	469	1213
279	470	1210
280	471	1207
281	473	1205
282	474	1202
283	475	1199
284	476	1196
285	478	1193
286	479	1190
287	480	1188
288	481	1185
289	482	1182
290	484	1179
291	485	1177
292	486	1174
293	488	1173
294	489	1170
295	491	1167
296	492	1165
297	493	1162
298	494	1159
299	495	1156
300	496	1153
301	498	1151
302	499	1148
303	500	1145
304	501	1142
305	502	1140
306	504	1138
307	505	1135
308	506	1132
309	507	1130
310	508	1127
311	510	1124
312	511	1122
313	512	1119
314	513	1116
315	514	1114
316	516	1112
317	517	1109
318	518	1107
319	519	1104
320	521	1102
321	522	1099
322	523	1097
323	524	1094
324	525	1091
325	526	1088
326	527	1086
327	528	1083
328	529	1080
329	531	1078
330	532	1075
331	533	1074
332	534	1071
333	536	1068
334	537	1066
335	538	1063
336	539	1061
337	540	1059
338	542	1056
339	543	1055
340	544	1053
341	545	1050
342	546	1047
343	548	1045
344	549	1042
345	550	1039
346	550	1036
347	551	1033
348	552	1031
349	553	1028
350	555	1026
351	556	1023
352	556	1020
353	557	1017
354	559	1015
355	560	1013
356	561	1010
357	562	1008
358	563	1005
359	564	1003
360	565	1000
361	566	997
362	567	995
363	567	992
364	568	989
365	569	987
366	570	984
367	571	982
368	573	980
369	574	978
370	575	976
371	576	973
372	578	971
373	579	969
374	580	967
375	581	965
376	582	963
377	584	961
378	585	958
379	586	956
380	586	953
381	588	952
382	590	951
383	591	948
384	592	946
385	593	943
386	594	942
387	596	940
388	597	938
389	598	935
390	599	933
391	600	930
392	601	928
393	601	925
394	603	923
395	604	921
396	605	919
397	606	917
398	607	915
399	608	912
400	609	910
401	610	908
402	612	906
403	613	905
404	615	903
405	615	901
406	616	898
407	618	896
408	619	894
409	620	892
410	621	890
411	622	888
412	623	886
413	624	883
414	625	881
415	627	880
416	628	878
417	629	875
418	630	873
419	630	871
420	631	868
421	633	867
422	634	865
423	636	864
424	637	861
425	637	859
426	638	857
427	639	855
428	641	854
429	642	852
430	643	850
431	644	847
432	645	845
433	646	843
434	647	841
435	649	839
436	650	837
437	651	835
438	651	833
439	652	830
440	653	828
441	655	827
442	656	825
443	657	823
444	658	821
445	659	818
446	660	816
447	661	814
448	662	812
449	663	810
450	664	808
451	665	806
452	666	804
453	667	802
454	668	800
455	670	799
456	671	797
457	672	796
458	674	794
459	675	792
460	676	791
461	678	790
462	679	788
463	680	786
464	681	784
465	682	782
466	683	780
467	685	778
468	686	777
469	687	775
470	688	773
471	689	771
472	690	769
473	691	767
474	693	766
475	694	764
476	695	762
477	696	760
478	698	759
479	699	757
480	700	755
481	701	753
482	702	751
483	703	749
484	704	747
485	705	746
486	706	744
487	707	742
488	709	741
489	710	739
490	711	737
491	712	735
492	713	734
493	714	732
494	715	730
495	716	728
496	717	726
497	718	724
498	719	722
499	720	720
500	721	719
501	723	717
502	724	715
503	725	713
504	725	711
505	727	709
506	728	708
507	730	707
508	731	705
509	732	703
510	733	701
511	734	700
512	736	699
513	737	697
514	739	696
515	740	694
516	741	692
517	743	691
518	744	690
519	745	688
520	746	686
521	748	685
522	749	683
523	750	682
524	752	680
525	753	678
526	754	677
527	756	675
528	757	674
529	757	672
530	759	670
531	760	668
532	761	667
533	762	665
534	764	664
535	765	662
536	767	661
537	768	660
538	769	658
539	770	656
540	772	655
541	773	653
542	774	651
543	775	650
544	777	648
545	778	647
546	779	645
547	782	645
548	783	643
549	784	642
550	786	640
551	787	639
552	788	637
553	789	635
554	790	634
555	791	632
556	793	630
557	794	629
558	795	627
559	796	626
560	798	624
561	799	623
562	800	621
563	802	620
564	803	618
565	804	617
566	806	615
567	807	614
568	808	612
569	809	610
570	810	609
571	812	608
572	814	606
573	815	605
574	816	603
575	817	602
576	819	600
577	820	598
578	821	597
579	822	595
580	823	594
581	825	592
582	826	591
583	828	589
584	829	588
585	830	586
586	831	585
587	832	583
588	834	582
589	835	580
590	836	578
591	837	577
592	839	575
593	839	574
594	841	572
595	842	571
596	843	569
597	845	568
598	846	566
599	847	564
600	848	563
601	849	561
602	850	560
603	852	558
604	853	557
605	854	555
606	855	554
607	858	553
608	859	551
609	860	550
610	861	548
611	862	547
612	864	545
613	865	544
614	866	542
615	867	540
616	868	539
617	870	537
618	871	536
619	872	534
620	873	533
621	875	531
622	876	530
623	877	528
624	878	527
625	879	525
626	881	524
627	882	522
628	883	520
629	884	519
630	886	518
631	888	517
632	890	516
633	891	514
634	892	513
635	893	511
636	895	510
637	896	508
638	897	507
639	898	505
640	900	504
641	901	502
642	902	501
643	904	499
644	905	498
645	906	496
646	907	495
647	908	493
648	910	492
649	912	491
650	913	489
651	914	488
652	916	486
653	917	485
654	919	484
655	920	482
656	921	480
657	922	479
658	923	477
659	924	476
660	925	474
661	926	473
662	927	471
663	928	470
664	929	468
665	930	466
666	931	465
667	933	463
668	934	462
669	935	460
670	936	459
671	937	457
672	938	455
673	939	454
674	940	452
675	941	451
676	942	449
677	943	447
678	944	446
679	944	444
680	945	442
681	947	441
682	948	440
683	949	438
684	950	437
685	951	435
686	952	434
687	954	432
688	955	431
689	956	429
690	957	428
691	958	426
692	959	425
693	960	423
694	961	422
695	963	420
696	964	419
697	965	417
698	966	416
699	967	414
700	968	412
701	969	411
702	970	410
703	972	408
704	973	407
705	974	405
706	974	404
707	975	402
708	977	401
709	978	399
710	979	398
711	980	396
712	981	395
713	982	393
714	983	392
715	985	390
716	986	389
717	987	387
718	988	386
719	989	384
720	990	383
721	992	382
722	994	380
723	995	379
724	996	378
725	997	376
726	999	375
727	1000	373
728	1001	372
729	1002	370
730	1003	369
731	1004	367
732	1005	366
733	1006	364
734	1008	363
735	1010	362
736	1011	360
737	1012	359
738	1014	358
739	1015	356
740	1017	355
741	1018	354
742	1019	352
743	1022	351
744	1024	350
745	1025	349
746	1027	347
747	1028	346
748	1030	345
749	1032	344
750	1034	342
751	1035	341
752	1037	340
753	1039	339
754	1040	337
755	1041	336
756	1042	334
757	1044	333
758	1045	332
759	1046	330
760	1048	329
761	1049	327
762	1050	326
763	1052	324
764	1053	323
765	1055	322
766	1057	321
767	1058	319
768	1059	318
769	1061	317
770	1062	315
771	1063	314
772	1064	312
773	1066	311
774	1067	309
775	1068	308
776	1070	307
777	1070	305
778	1071	304
779	1072	302
780	1074	301
781	1075	299
782	1076	298
783	1077	296
784	1078	295
785	1079	293
786	1080	292
787	1082	291
788	1083	289
789	1085	288
790	1086	286
791	1087	285
792	1088	284
793	1089	282
794	1090	281
795	1091	279
796	1092	278
797	1093	276
798	1094	275
799	1095	273
800	1096	272
801	1097	271
802	1098	269
803	1099	268
804	1100	266
805	1102	265
806	1103	263
807	1103	262
808	1104	260
809	1105	259
810	1106	257
811	1107	256
812	1108	254
813	1109	253
814	1109	251
815	1110	250
816	1113	249
817	1113	247
818	1115	246
819	1116	245
820	1117	243
821	1118	242
822	1119	240
823	1120	239
824	1120	237
825	1121	236
826	1122	234
827	1123	233
828	1124	231
829	1125	230
830	1127	229
831	1128	227
832	1129	226
833	1130	224
834	1131	223
835	1132	222
836	1133	220
837	1133	219
838	1134	217
839	1135	216
840	1136	214
841	1137	213
842	1138	212
843	1139	210
844	1140	209
845	1140	207
846	1141	206
847	1143	204
848	1144	203
849	1145	202
850	1146	200
851	1147	199
852	1147	197
853	1148	196
854	1149	194
855	1150	193
856	1151	192
857	1152	190
858	1152	189
859	1153	187
860	1154	186
861	1155	185
862	1157	183
863	1158	182
864	1159	180
865	1160	179
866	1161	178
867	1162	176
868	1163	175
869	1164	174
870	1165	172
871	1166	171
872	1167	169
873	1168	168
874	1170	167
875	1171	165
876	1173	164
877	1174	163
878	1175	161
879	1176	160
880	1177	159
881	1178	157
882	1179	156
883	1181	154
884	1181	153
885	1182	152
886	1183	150
887	1184	149
888	1185	148
889	1187	146
890	1188	145
891	1189	144
892	1190	142
893	1191	141
894	1192	139
895	1193	138
896	1194	137
897	1195	135
898	1196	134
899	1197	133
900	1198	131
901	1199	130
902	1199	128
903	1200	127
904	1202	126
905	1203	124
906	1204	123
907	1204	122
908	1205	120
909	1206	119
910	1207	117
911	1208	116
912	1209	115
913	1210	113
914	1211	112
915	1212	111
916	1212	109
917	1213	108
918	1214	107
919	1215	105
920	1216	104
921	1217	103
922	1218	101
923	1219	100
924	1220	98
925	1221	97
926	1222	96
927	1223	94
928	1224	93
929	1224	92
930	1225	90
931	1226	89
932	1227	88
933	1228	86
934	1229	85
935	1230	84
936	1231	82
937	1232	81
938	1233	80
939	1234	78
940	1235	77
941	1235	76
942	1236	74
943	1237	73
944	1238	72
945	1239	70
946	1240	69
947	1241	68
948	1241	66
949	1242	65
950	1243	64
951	1244	62
952	1245	61
953	1246	60
954	1248	58
955	1249	57
956	1249	56
957	1250	54
958	1251	53
959	1252	52
960	1253	50
961	1254	49
962	1255	48
963	1256	46
964	1256	45
965	1257	44
966	1258	42
967	1259	41
968	1260	40
969	1261	39
970	1263	37
971	1264	36
972	1264	35
973	1265	33
974	1266	32
975	1267	31
976	1268	29
977	1269	28
978	1270	27
979	1271	25
980	1272	24
981	1273	23
982	1274	22
983	1275	20
984	1276	19
985	1277	18
986	1278	16
987	1279	15
988	1280	14
989	1281	12
990	1282	11
991	1283	10
992	1284	9
993	1285	7
994	1285	6
995	1286	5
996	1287	3
997	1288	2
998	1289	1
999	1290	0
